2015_srer_,X,Y,2015_PWC_R
0,506708.0000,3520164.0000,0.2136
1,506667.0000,3520157.0000,0.1733
2,506364.0000,3519689.0000,0.2198
3,506309.0000,3519688.0000,0.2047
4,506900.0000,3520834.0000,0.2424
5,506854.0000,3520830.0000,0.2704
6,505720.0000,3518813.0000,0.2199
7,505677.0000,3518807.0000,0.2261
8,505147.0000,3518963.0000,0.1943
9,505086.0000,3518960.0000,0.1964
10,514858.0000,3518710.0000,0.3224
11,515441.0000,3518531.0000,0.3667
12,515950.0000,3517963.0000,0.3978
13,516181.0000,3518340.0000,0.4069
14,515960.0000,3518841.0000,0.3443
15,515318.0000,3519325.0000,0.2999
16,515985.0000,3519072.0000,0.2804
17,515476.0000,3519732.0000,0.2470
18,515871.0000,3519782.0000,0.3205
19,516359.0000,3519434.0000,0.3464
20,513777.0000,3516743.0000,0.2573
21,514548.0000,3516547.0000,0.2585
22,514094.0000,3517147.0000,0.2147
23,514477.0000,3516949.0000,0.2314
24,514715.0000,3517303.0000,0.3461
25,515033.0000,3517046.0000,0.3958
26,514606.0000,3518172.0000,0.3368
27,514792.0000,3517665.0000,0.3881
28,515303.0000,3517680.0000,0.3236
29,515648.0000,3517368.0000,0.3755
30,512828.0000,3522528.0000,0.3325
31,512771.0000,3522527.0000,0.3261
32,512375.0000,3522681.0000,0.3251
33,512329.0000,3522681.0000,0.3242
34,513372.0000,3522841.0000,0.2843
35,513360.0000,3522842.0000,0.2843
36,514954.0000,3520608.0000,0.3713
37,514905.0000,3520608.0000,0.3515
38,514778.0000,3521189.0000,0.3421
39,514726.0000,3521193.0000,0.3174
40,510062.0000,3520021.0000,0.2764
41,510022.0000,3519838.0000,0.2707
42,510740.0000,3518603.0000,0.2920
43,513879.0000,3517388.0000,0.2346
44,513919.0000,3517816.0000,0.3196
45,514083.0000,3518176.0000,0.3282
46,514183.0000,3518507.0000,0.3756
47,514914.0000,3519623.0000,0.2930
48,508141.0000,3522897.0000,0.2323
49,508096.0000,3522882.0000,0.2276
50,507496.0000,3523040.0000,0.2148
51,507450.0000,3523040.0000,0.2111
52,509350.0000,3520421.0000,0.2484
53,509306.0000,3520430.0000,0.2494
54,508931.0000,3520814.0000,0.2774
55,508886.0000,3520832.0000,0.2641
56,507979.0000,3523650.0000,0.2227
57,507933.0000,3523650.0000,0.2075
58,513167.0000,3527045.0000,0.2520
59,513101.0000,3527059.0000,0.2376
60,512939.0000,3527537.0000,0.2654
61,512873.0000,3527560.0000,0.2620
62,511037.0000,3528295.0000,0.2448
63,510995.0000,3528296.0000,0.2498
64,508670.0000,3529487.0000,0.2574
65,508624.0000,3529497.0000,0.2462
66,508253.0000,3529894.0000,0.2089
67,508210.0000,3529879.0000,0.2477
68,512933.0000,3526752.0000,0.2523
69,512896.0000,3526764.0000,0.2533
70,512792.0000,3525969.0000,0.2666
71,512731.0000,3525974.0000,0.2512
72,509306.0000,3525418.0000,0.2379
73,509270.0000,3525419.0000,0.2575
74,508505.0000,3526117.0000,0.2665
75,508449.0000,3526100.0000,0.2298
76,517109.0000,3521110.0000,0.3475
77,517011.0000,3521102.0000,0.3188
78,516925.0000,3521074.0000,0.2929
79,516830.0000,3521030.0000,0.3273
80,516745.0000,3520998.0000,0.3103
81,516876.0000,3524425.0000,0.3396
82,516964.0000,3524388.0000,0.3518
83,517052.0000,3524361.0000,0.3132
84,517136.0000,3524342.0000,0.2904
85,517238.0000,3524292.0000,0.2839
86,516751.0000,3524363.0000,0.3032
87,516795.0000,3524267.0000,0.2775
88,516780.0000,3524185.0000,0.3042
89,516785.0000,3524100.0000,0.3138
90,516788.0000,3523998.0000,0.2761
91,516237.0000,3522446.0000,0.3666
92,516268.0000,3522349.0000,0.3654
93,516253.0000,3522277.0000,0.3370
94,516238.0000,3522164.0000,0.3357
95,516247.0000,3522076.0000,0.3509
96,515627.0000,3521367.0000,0.3305
97,515522.0000,3521400.0000,0.3199
98,515453.0000,3521435.0000,0.3296
99,515362.0000,3521465.0000,0.3361
100,515270.0000,3521504.0000,0.3066
101,513941.0000,3526978.0000,0.2702
102,513879.0000,3526955.0000,0.2800
103,514430.0000,3527491.0000,0.2808
104,514393.0000,3527482.0000,0.2896
105,515478.0000,3525831.0000,0.3093
106,515433.0000,3525832.0000,0.3116
107,514481.0000,3526698.0000,0.2268
108,514434.0000,3526715.0000,0.2103
109,515075.0000,3526291.0000,0.2690
110,515034.0000,3526293.0000,0.2706
111,516705.0000,3524490.0000,0.3179
112,516622.0000,3524512.0000,0.2895
113,516534.0000,3524548.0000,0.2881
114,516447.0000,3524577.0000,0.2799
115,516358.0000,3524587.0000,0.2619
116,516729.0000,3524542.0000,0.3231
117,516671.0000,3524577.0000,0.3315
118,516594.0000,3524649.0000,0.3240
119,516508.0000,3524692.0000,0.2843
120,516460.0000,3524779.0000,0.2870
121,512754.0000,3516700.0000,0.2514
122,513065.0000,3516183.0000,0.2845
123,513146.0000,3516071.0000,0.2641
124,513768.0000,3516117.0000,0.2960
125,513067.0000,3515784.0000,0.3910
126,513455.0000,3515520.0000,0.3230
127,514134.0000,3514951.0000,0.3476
128,514001.0000,3515645.0000,0.3316
129,514460.0000,3514983.0000,0.3466
130,514680.0000,3514658.0000,0.2900
