PASTTRAN,PASTURE,TRANSECT,UTM X,UTM Y,
93,2S,1,510062,3520021,
94,2S,2,510022,3519838,
96,2S,4,510740,3518603,
97,2S,5,513879,3517388,
98,2S,6,513919,3517816,
99,2S,7,514083,3518176,
100,2S,8,514183,3518507,
101,2S,9,514914,3519623,
103,6A,1,517109,3521110,
104,6A,2,517011,3521102,
105,6A,3,516925,3521074,
106,6A,4,516830,3521030,
107,6A,5,516745,3520998,
108,6A,11,516876,3524425,
109,6A,12,516964,3524388,
110,6A,13,517052,3524361,
111,6A,14,517136,3524342,
112,6A,15,517238,3524292,
113,6A,16,516751,3524363,
114,6A,17,516795,3524267, 
115,6A,18,516780,3524185,
116,6A,19,516785,3524100,
117,6A,20,516788,3523998,
118,6A,36,516237,3522446,
119,6A,37,516268,3522349,
120,6A,38,516253,3522277,
121,6A,39,516238,3522164,
122,6A,40,516247,3522076,
123,6A,41,515627,3521367,
124,6A,42,515522,3521400,
125,6A,43,515453,3521435,
126,6A,44,515362,3521465,
127,6A,45,515270,3521504,
128,6B,51,516705,3524490,
129,6B,52,516622,3524512,
130,6B,53,516534,3524548,
131,6B,54,516447,3524577,
132,6B,55,516358,3524587,
133,6B,56,516729,3524542,
134,6B,57,516671,3524577,
135,6B,58,516594,3524649,
136,6B,59,516508,3524692,
137,6B,60,516460,3524779,
159,8,2,512754,3516700,
160,8,3,513065,3516183,
161,8,4,513146,3516071,
162,8,5,513768,3516117,
164,8,7,513067,3515784,
165,8,8,513455,3515520,
166,8,9,514134,3514951,
169,8,12,514001,3515645,
170,8,13,514460,3514983,
171,8,14,514680,3514658,
218,21,1,514858,3518710,
219,21,2,515441,3518531,
220,21,3,515950,3517963,
221,21,4,516181,3518340,
222,21,5,515960,3518841,
223,21,6,515318,3519325,
224,21,7,515985,3519072,
225,21,8,515476,3519732,
226,21,9,515871,3519782,
227,21,10,516359,3519434,
228,22,1,513777,3516743,
229,22,2,514548,3516547,
230,22,3,514094,3517147,
231,22,4,514477,3516949,
232,22,5,514715,3517303,
233,22,6,515033,3517046,
234,22,7,514606,3518172,
235,22,8,514792,3517665,
236,22,9,515303,3517680,
237,22,10,515648,3517368,
301,2N,1E,512828,3522528,
302,2N,1W,512771,3522527,
303,2N,2E,512375,3522681,
304,2N,2W,512329,3522681,
307,2N,4E,513372,3522841,
308,2N,4W,513360,3522842,
319,2N,10E,514954,3520608,
320,2N,10W,514905,3520608,
321,2N,11E,514778,3521189,
322,2N,11W,514726,3521193,
325,3,1E,508141,3522897,
326,3,1W,508096,3522882,
331,3,4E,507496,3523040,
332,3,4W,507450,3523040,
337,3,7E,509350,3520421,
338,3,7W,509306,3520430,
339,3,8E,508931,3520814,
340,3,8W,508886,3520832,
343,3,10E,507979,3523650,
344,3,10W,507933,3523650,
349,5N,1E,513167,3527045,
350,5N,1W,513101,3527059,
351,5N,2E,512939,3527537,
352,5N,2W,512873,3527560,
363,5N,8E,511037,3528295,
364,5N,8W,510995,3528296,
367,5N,10E,508670,3529487,
368,5N,10W,508624,3529497,
369,5N,11E,508253,3529894,
370,5N,11W,508210,3529879,
373,5S,1E,512933,3526752,
374,5S,1W,512896,3526764,
375,5S,2E,512792,3525969,
376,5S,2W,512731,3525974,
379,5S,4E,509306,3525418,
380,5S,4W,509270,3525419,
381,5S,5E,508505,3526117,
382,5S,5W,508449,3526100,
397,6B,1E,513941,3526978,
398,6B,1W,513879,3526955,
399,6B,2E,514430,3527491,
400,6B,2W,514393,3527482,
401,6B,3E,515478,3525831,
402,6B,3W,515433,3525832,
403,6B,4E,514481,3526698,
404,6B,4W,514434,3526715,
405,6B,5E,515075,3526291,
406,6B,5W,515034,3526293,
427,12B,4E,506708,3520164,
428,12B,4W,506667,3520157,
429,12B,5E,506364,3519689,
430,12B,5W,506309,3519688,
433,12B,7E,506900,3520834,
434,12B,7W,506854,3520830,
439,12B,10E,505720,3518813,
440,12B,10W,505677,3518807,
441,12B,11E,505147,3518963,
442,12B,11W,505086,3518960,
