tranID,Pasture,Transect,year,cover
12B_4E,12B,4E,cover15,0.124
12B_4E,12B,4E,cover12,0.08199999999999999
12B_4E,12B,4E,cover09,0.040999999999999995
12B_4E,12B,4E,cover06,0.031
12B_4W,12B,4W,cover15,0.336
12B_4W,12B,4W,cover12,0.302
12B_4W,12B,4W,cover09,0.272
12B_4W,12B,4W,cover06,0.36500000000000005
12B_5E,12B,5E,cover15,0.307
12B_5E,12B,5E,cover12,0.21800000000000003
12B_5E,12B,5E,cover09,0.129
12B_5E,12B,5E,cover06,0.163
12B_5W,12B,5W,cover15,0.04
12B_5W,12B,5W,cover12,0.005
12B_5W,12B,5W,cover09,0.002
12B_5W,12B,5W,cover06,0.012
12B_7E,12B,7E,cover15,0.08600000000000001
12B_7E,12B,7E,cover12,0.066
12B_7E,12B,7E,cover09,0.05700000000000001
12B_7E,12B,7E,cover06,0.061
12B_7W,12B,7W,cover15,0.379
12B_7W,12B,7W,cover12,0.329
12B_7W,12B,7W,cover09,0.39899999999999997
12B_7W,12B,7W,cover06,0.47200000000000003
12B_10E,12B,10E,cover15,0.284
12B_10E,12B,10E,cover12,0.281
12B_10E,12B,10E,cover09,0.21800000000000003
12B_10E,12B,10E,cover06,0.21100000000000002
12B_10W,12B,10W,cover15,0
12B_10W,12B,10W,cover12,0
12B_10W,12B,10W,cover09,0
12B_10W,12B,10W,cover06,0
12B_11E,12B,11E,cover15,0.127
12B_11E,12B,11E,cover12,0.055999999999999994
12B_11E,12B,11E,cover09,0.068
12B_11E,12B,11E,cover06,0.049
12B_11W,12B,11W,cover15,0.064
12B_11W,12B,11W,cover12,0.052000000000000005
12B_11W,12B,11W,cover09,0.047
12B_11W,12B,11W,cover06,0.049
21_1,21,1,cover15,0.07400000000000001
21_1,21,1,cover12,0.037000000000000005
21_1,21,1,cover09,0.042
21_1,21,1,cover06,0.013000000000000001
21_2,21,2,cover15,0.46299999999999997
21_2,21,2,cover12,0.424
21_2,21,2,cover09,0.44
21_2,21,2,cover06,0.473
21_3,21,3,cover15,0.15800000000000003
21_3,21,3,cover12,0.046
21_3,21,3,cover09,0.12000000000000001
21_3,21,3,cover06,0.13999999999999999
21_4,21,4,cover15,0.272
21_4,21,4,cover12,0.34600000000000003
21_4,21,4,cover09,0.315
21_4,21,4,cover06,0.257
21_5,21,5,cover15,0.282
21_5,21,5,cover12,0.257
21_5,21,5,cover09,0.16399999999999998
21_5,21,5,cover06,0.263
21_6,21,6,cover15,0.299
21_6,21,6,cover12,0.28600000000000003
21_6,21,6,cover09,0.24200000000000002
21_6,21,6,cover06,0.268
21_7,21,7,cover15,0.198
21_7,21,7,cover12,0.156
21_7,21,7,cover09,0.174
21_7,21,7,cover06,0.17800000000000002
21_8,21,8,cover15,0.324
21_8,21,8,cover12,0.32
21_8,21,8,cover09,0.293
21_8,21,8,cover06,0.27699999999999997
21_9,21,9,cover15,0.116
21_9,21,9,cover12,0.13999999999999999
21_9,21,9,cover09,0.055
21_9,21,9,cover06,0.239
21_10,21,10,cover15,0.363
21_10,21,10,cover12,0.304
21_10,21,10,cover09,0.361
21_10,21,10,cover06,0.366
22_1,22,1,cover15,0.184
22_1,22,1,cover12,0.294
22_1,22,1,cover09,0.19
22_1,22,1,cover06,0.13999999999999999
22_2,22,2,cover15,0.219
22_2,22,2,cover12,0.263
22_2,22,2,cover09,0.264
22_2,22,2,cover06,0.19699999999999998
22_3,22,3,cover15,0.15800000000000003
22_3,22,3,cover12,0.128
22_3,22,3,cover09,0.16100000000000003
22_3,22,3,cover06,0.163
22_4,22,4,cover15,0.12300000000000001
22_4,22,4,cover12,0.1
22_4,22,4,cover09,0.12100000000000001
22_4,22,4,cover06,0.179
22_5,22,5,cover15,0.542
22_5,22,5,cover12,0.374
22_5,22,5,cover09,0.46900000000000003
22_5,22,5,cover06,0.47900000000000004
22_6,22,6,cover15,0.10400000000000001
22_6,22,6,cover12,0.069
22_6,22,6,cover09,0.136
22_6,22,6,cover06,0.134
22_7,22,7,cover15,0.293
22_7,22,7,cover12,0.195
22_7,22,7,cover09,0.22399999999999998
22_7,22,7,cover06,0.203
22_8,22,8,cover15,0.194
22_8,22,8,cover12,0.184
22_8,22,8,cover09,0.122
22_8,22,8,cover06,0.174
22_9,22,9,cover15,0.295
22_9,22,9,cover12,0.233
22_9,22,9,cover09,0.233
22_9,22,9,cover06,0.29
22_10,22,10,cover15,0.091
22_10,22,10,cover12,0.045000000000000005
22_10,22,10,cover09,0.061
22_10,22,10,cover06,0.064
2N_1E,2N,1E,cover15,0.302
2N_1E,2N,1E,cover12,0.21600000000000003
2N_1E,2N,1E,cover09,0.17500000000000002
2N_1E,2N,1E,cover06,0.12100000000000001
2N_1W,2N,1W,cover15,0.162
2N_1W,2N,1W,cover12,0.11
2N_1W,2N,1W,cover09,0.144
2N_1W,2N,1W,cover06,0.16399999999999998
2N_2E,2N,2E,cover15,0.053
2N_2E,2N,2E,cover12,0.037000000000000005
2N_2E,2N,2E,cover09,0.044000000000000004
2N_2E,2N,2E,cover06,0.018
2N_2W,2N,2W,cover15,0.4
2N_2W,2N,2W,cover12,0.379
2N_2W,2N,2W,cover09,0.361
2N_2W,2N,2W,cover06,0.307
2N_4E,2N,4E,cover15,0.34400000000000003
2N_4E,2N,4E,cover12,0.28300000000000003
2N_4E,2N,4E,cover09,0.23700000000000002
